date,price,bid,ask,bidSize,askSize
2022-06-18 11:20:55.187857389,1008.0,1008.0,1008.1,20.309,8.16
2022-06-18 11:20:55.212326050,1008.0,1008.0,1008.1,19.961,8.16
2022-06-18 11:20:55.237170219,1008.0,1008.0,1008.1,56.243,8.16
2022-06-18 11:20:55.290762186,1008.0,1008.0,1008.1,60.237,8.16
2022-06-18 11:20:55.349812269,1008.0,1008.0,1008.1,75.274,8.16
2022-06-18 11:20:55.381871939,1008.0,1008.0,1008.2,75.274,2.1
2022-06-18 11:20:55.401022673,1008.0,1008.0,1008.2,75.274,0.1
2022-06-18 11:20:55.427631617,1008.0,1008.1,1008.2,33.717,0.1
2022-06-18 11:20:55.450364828,1008.0,1008.2,1008.3,3.994,45.735
2022-06-18 11:20:55.513201951,1007.1,1008.1,1008.3,7.207,45.735
2022-06-18 11:20:55.636495590,1008.1,1008.0,1008.2,0.096,14.936
2022-06-18 11:20:55.705311537,1008.0,1007.7,1007.8,6.0,4.0
2022-06-18 11:20:55.775360107,1007.6,1007.5,1007.8,12.499,13.037
2022-06-18 11:20:55.826488733,1007.6,1007.5,1007.8,11.913,50.44
2022-06-18 11:20:55.854645491,1007.6,1007.5,1007.6,11.913,32.226
2022-06-18 11:20:55.876569033,1007.6,1007.5,1007.6,11.913,34.226
2022-06-18 11:20:55.903573513,1007.6,1007.4,1007.5,20.565,6.0
2022-06-18 11:20:55.927978516,1007.6,1007.4,1007.5,20.565,12.0
2022-06-18 11:20:55.953345537,1007.6,1007.4,1007.5,20.565,6.0
2022-06-18 11:20:55.984150410,1007.6,1007.4,1007.5,41.471,12.0
2022-06-18 11:20:56.012619257,1007.6,1007.4,1007.5,73.623,6.0
2022-06-18 11:20:56.038452625,1007.6,1007.4,1007.5,73.623,15.037
2022-06-18 11:20:56.064782143,1007.6,1007.4,1007.5,75.623,15.037
2022-06-18 11:20:56.113059044,1007.6,1007.4,1007.5,76.113,15.037
2022-06-18 11:20:56.139474392,1007.6,1007.4,1007.5,76.113,6.0
2022-06-18 11:20:56.163625717,1007.6,1007.4,1007.5,84.556,6.0
2022-06-18 11:20:56.213836908,1007.6,1007.4,1007.6,84.556,5.162
2022-06-18 11:20:56.240055799,1007.6,1007.5,1007.7,0.027,0.001
2022-06-18 11:20:56.261446475,1007.6,1007.5,1007.7,16.909,0.001
2022-06-18 11:20:56.307835579,1007.6,1007.6,1007.7,32.075,0.001
2022-06-18 11:20:56.340537310,1007.7,1007.6,1007.7,68.917,7.161
2022-06-18 11:20:56.395137310,1007.7,1007.6,1007.7,76.117,7.16
2022-06-18 11:20:56.417699575,1007.7,1007.6,1007.7,78.117,7.159
2022-06-18 11:20:56.444511414,1007.7,1007.6,1007.7,78.117,7.158
2022-06-18 11:20:56.547219276,1007.7,1007.6,1007.7,78.16,7.658
2022-06-18 11:20:56.600067616,1007.7,1007.8,1007.9,6.0,2.001
2022-06-18 11:20:56.635414362,1007.7,1007.8,1007.9,37.5,2.001
2022-06-18 11:20:56.662139416,1007.7,1007.8,1007.9,21.0,2.001
2022-06-18 11:20:56.690351963,1007.7,1007.8,1007.9,54.742,11.038
2022-06-18 11:20:56.761247635,1007.7,1007.8,1007.9,54.742,12.684
2022-06-18 11:20:56.887051582,1007.7,1007.8,1007.9,54.742,12.784
2022-06-18 11:20:56.938010454,1007.7,1007.8,1007.9,23.0,12.784
2022-06-18 11:20:56.962953329,1007.7,1007.8,1007.9,21.0,25.633
2022-06-18 11:20:56.998283863,1007.7,1007.7,1007.8,0.49,6.0
2022-06-18 11:20:57.082121134,1007.7,1007.7,1007.8,0.49,75.993
2022-06-18 11:20:57.103431702,1007.7,1007.7,1007.8,0.49,99.571
2022-06-18 11:20:57.128885984,1007.7,1007.7,1007.8,0.49,100.053
2022-06-18 11:20:57.154268742,1007.7,1007.7,1007.8,0.49,71.728
2022-06-18 11:20:57.182428122,1007.7,1007.7,1007.8,0.533,71.728
2022-06-18 11:20:57.230197668,1007.7,1007.7,1007.8,2.179,40.727
2022-06-18 11:20:57.253323554,1007.7,1007.7,1007.8,11.294,21.463
2022-06-18 11:20:57.339116812,1007.7,1007.7,1007.8,53.612,0.482
2022-06-18 11:20:57.369599581,1007.7,1007.7,1007.8,49.735,0.482
2022-06-18 11:20:57.419348001,1007.7,1007.7,1007.8,51.735,0.482
2022-06-18 11:20:57.643362284,1007.7,1007.7,1007.8,51.735,0.582
2022-06-18 11:20:57.747582912,1007.7,1007.7,1007.8,51.692,0.582
2022-06-18 11:20:57.769073486,1007.7,1007.7,1007.8,51.692,1.082
2022-06-18 11:20:57.873055935,1007.7,1007.7,1007.8,51.296,1.082
2022-06-18 11:20:57.897860765,1007.7,1007.7,1007.8,51.296,10.119
2022-06-18 11:20:57.922873497,1007.7,1007.7,1007.8,51.311,23.728
2022-06-18 11:20:58.097425461,1007.7,1007.7,1007.8,46.211,23.728
2022-06-18 11:20:58.122432947,1007.7,1007.7,1007.8,41.666,25.374
2022-06-18 11:20:58.147485971,1007.7,1007.7,1007.8,41.666,24.892
2022-06-18 11:20:58.273979902,1007.7,1007.7,1007.8,41.666,25.382
2022-06-18 11:20:58.436021566,1007.7,1007.7,1007.8,34.466,25.382
2022-06-18 11:20:58.457191467,1007.7,1007.7,1007.8,14.184,25.382
2022-06-18 11:20:58.483152866,1007.7,1007.7,1007.8,8.285,25.382
2022-06-18 11:20:58.506921291,1007.7,1007.7,1007.8,2.724,30.482
2022-06-18 11:20:58.731780767,1007.7,1007.7,1007.8,2.109,30.982
2022-06-18 11:20:58.932067394,1007.7,1007.7,1007.8,2.109,32.831
2022-06-18 11:20:58.956133604,1007.7,1007.7,1007.8,2.109,27.731
2022-06-18 11:20:59.062410831,1007.7,1007.7,1007.8,12.87,27.731
2022-06-18 11:20:59.261186360,1007.7,1007.7,1007.8,12.776,27.731
2022-06-18 11:20:59.344631195,1007.7,1007.7,1007.8,12.895,27.731
2022-06-18 11:20:59.469505548,1007.7,1007.7,1007.8,12.895,25.882
2022-06-18 11:20:59.671063185,1007.7,1007.7,1007.8,12.905,25.882
2022-06-18 11:20:59.695086956,1007.7,1007.7,1007.8,12.905,27.726
2022-06-18 11:20:59.850211382,1007.7,1007.7,1007.8,12.905,28.226
2022-06-18 11:20:59.944812059,1007.7,1007.7,1007.8,12.905,14.617
2022-06-18 11:21:00.096166134,1007.7,1007.7,1007.8,12.905,28.226
2022-06-18 11:21:00.245036840,1007.7,1007.7,1007.8,12.905,26.382
2022-06-18 11:21:00.350927353,1007.7,1007.7,1007.8,12.905,28.539
2022-06-18 11:21:00.380235434,1007.7,1007.7,1007.8,12.776,28.539
2022-06-18 11:21:00.519996405,1007.7,1007.7,1007.8,12.891,28.539
2022-06-18 11:21:00.660456419,1007.7,1007.7,1007.8,11.245,28.539
2022-06-18 11:21:00.761253834,1007.7,1007.7,1007.8,12.891,14.93
2022-06-18 11:21:00.812496662,1007.7,1007.7,1007.8,12.891,15.43
2022-06-18 11:21:00.859631777,1007.7,1007.7,1007.8,10.891,15.43
2022-06-18 11:21:00.912747383,1007.7,1007.7,1007.8,10.891,4.747
2022-06-18 11:21:00.967829466,1007.7,1007.7,1007.8,19.101,4.747
2022-06-18 11:21:00.988975525,1007.7,1007.7,1007.8,32.598,17.596
2022-06-18 11:21:01.034929037,1007.7,1007.7,1007.8,37.757,4.747
2022-06-18 11:21:01.085682869,1007.7,1007.7,1007.8,39.757,4.747
2022-06-18 11:21:01.162515879,1007.7,1007.7,1007.8,37.757,4.747
2022-06-18 11:21:01.185760498,1007.7,1007.7,1007.8,36.747,15.784
2022-06-18 11:21:01.211228132,1007.7,1007.7,1007.8,36.747,17.43
2022-06-18 11:21:01.236575842,1007.7,1007.7,1007.8,23.25,17.43
2022-06-18 11:21:01.262126923,1007.7,1007.7,1007.8,21.604,17.43
2022-06-18 11:21:01.371004820,1007.7,1007.7,1007.8,14.404,15.273
2022-06-18 11:21:01.479536057,1007.7,1007.7,1007.8,14.404,23.546
2022-06-18 11:21:01.506289958,1007.7,1007.7,1007.8,14.404,37.155
2022-06-18 11:21:01.557424068,1007.7,1007.7,1007.8,14.289,23.546
2022-06-18 11:21:01.584920406,1007.7,1007.7,1007.8,11.789,23.546
2022-06-18 11:21:01.659015894,1007.7,1007.7,1007.8,11.789,23.647
2022-06-18 11:21:01.707281590,1007.7,1007.7,1007.8,11.789,37.225
2022-06-18 11:21:01.758666754,1007.7,1007.7,1007.8,13.435,23.647
2022-06-18 11:21:01.909347296,1007.7,1007.7,1007.8,13.435,37.225
2022-06-18 11:21:01.933868170,1007.7,1007.7,1007.8,11.789,37.225
2022-06-18 11:21:01.959942341,1007.7,1007.7,1007.8,5.159,23.647
2022-06-18 11:21:02.085553408,1007.7,1007.7,1007.8,5.159,24.147
2022-06-18 11:21:02.110027313,1007.7,1007.7,1007.8,5.216,24.147
2022-06-18 11:21:02.159191132,1007.7,1007.7,1007.8,5.216,37.725
2022-06-18 11:21:02.208667755,1007.7,1007.7,1007.8,5.216,37.762
2022-06-18 11:21:02.233637571,1007.7,1007.7,1007.8,5.216,37.969
2022-06-18 11:21:02.283232450,1007.7,1007.7,1007.8,5.216,24.391
2022-06-18 11:21:02.317061663,1007.7,1007.7,1007.8,5.216,24.436
2022-06-18 11:21:02.391722679,1007.7,1007.7,1007.8,6.862,24.436
2022-06-18 11:21:02.441363573,1007.7,1007.7,1007.8,6.862,38.014
2022-06-18 11:21:02.465131044,1007.7,1007.7,1007.8,15.977,38.014
2022-06-18 11:21:02.493443251,1007.7,1007.7,1007.8,15.977,24.436
2022-06-18 11:21:02.515032530,1007.7,1007.7,1007.8,15.977,21.263
2022-06-18 11:21:02.666255951,1007.7,1007.7,1007.8,15.977,23.37
2022-06-18 11:21:03.065469742,1007.7,1007.7,1007.8,16.674,23.37
2022-06-18 11:21:03.091301680,1007.7,1007.7,1007.8,16.674,23.87
2022-06-18 11:21:03.190645456,1007.7,1007.7,1007.8,15.028,23.87
2022-06-18 11:21:03.268518925,1007.7,1007.7,1007.8,0.754,21.763
2022-06-18 11:21:03.327387094,1007.7,1007.7,1007.8,2.371,21.273
2022-06-18 11:21:03.355242729,1007.7,1007.7,1007.8,2.371,21.228
2022-06-18 11:21:03.377119541,1007.7,1007.7,1007.8,2.371,40.333
2022-06-18 11:21:03.403298140,1007.7,1007.7,1007.8,2.371,40.833
2022-06-18 11:21:03.424900532,1007.7,1007.7,1007.8,2.371,41.282
2022-06-18 11:21:03.552064419,1007.7,1007.7,1007.8,2.371,27.704
2022-06-18 11:21:03.600870132,1007.7,1007.7,1007.8,4.017,27.704
2022-06-18 11:21:03.751573563,1007.7,1007.7,1007.8,11.892,41.282
2022-06-18 11:21:03.776978731,1007.7,1007.7,1007.8,2.371,41.282
2022-06-18 11:21:03.808132172,1007.6,1007.5,1007.8,31.698,60.42
2022-06-18 11:21:03.863481998,1007.5,1007.4,1007.5,56.302,18.0
2022-06-18 11:21:03.940293789,1007.5,1007.4,1007.5,50.607,9.037
2022-06-18 11:21:03.985885620,1007.5,1007.4,1007.5,35.327,9.037
2022-06-18 11:21:04.018159628,1007.5,1007.4,1007.6,35.327,43.703
2022-06-18 11:21:04.040228844,1007.5,1007.4,1007.5,35.327,12.849
2022-06-18 11:21:04.068183899,1007.4,1007.4,1007.5,31.327,19.206
2022-06-18 11:21:04.106014013,1007.4,1007.4,1007.5,32.973,41.703
2022-06-18 11:21:04.134067297,1007.4,1007.4,1007.5,16.683,47.264
2022-06-18 11:21:04.181404352,1007.4,1007.4,1007.5,23.557,53.264
2022-06-18 11:21:04.281251669,1007.4,1007.4,1007.5,21.911,53.264
2022-06-18 11:21:04.313484907,1007.4,1007.4,1007.5,15.755,53.264
2022-06-18 11:21:04.341967821,1007.4,1007.4,1007.5,3.72,59.264
2022-06-18 11:21:04.371123314,1007.4,1007.4,1007.5,3.72,59.764
2022-06-18 11:21:04.392584085,1007.4,1007.4,1007.5,3.72,69.909
2022-06-18 11:21:04.415702581,1007.4,1007.4,1007.5,3.72,63.909
2022-06-18 11:21:04.497449398,1007.4,1007.4,1007.5,3.72,64.009
2022-06-18 11:21:04.622046232,1007.4,1007.4,1007.5,3.72,63.56
2022-06-18 11:21:04.647216558,1007.4,1007.4,1007.5,3.72,58.033
2022-06-18 11:21:04.721386433,1007.4,1007.4,1007.5,3.789,63.934
2022-06-18 11:21:05.033070563,1007.4,1007.4,1007.5,7.448,63.934
2022-06-18 11:21:05.075404882,1007.4,1007.4,1007.5,5.588,75.791
2022-06-18 11:21:05.132005453,1007.4,1007.3,1007.5,5.162,75.791
2022-06-18 11:21:05.179660559,1007.4,1007.2,1007.5,22.274,105.101
2022-06-18 11:21:05.219233751,1007.4,1007.2,1007.4,11.222,81.911
2022-06-18 11:21:05.249105692,1007.4,1007.1,1007.3,60.48,12.349
2022-06-18 11:21:05.274579048,1007.4,1007.1,1007.3,60.07,48.911
2022-06-18 11:21:05.324440002,1007.4,1007.1,1007.2,49.178,69.007
2022-06-18 11:21:05.359838963,1007.4,1007.1,1007.2,11.329,71.364
2022-06-18 11:21:05.388191223,1007.4,1007.1,1007.2,11.329,49.4
2022-06-18 11:21:05.410210848,1007.4,1007.1,1007.2,5.868,49.4
2022-06-18 11:21:05.463429213,1007.4,1007.1,1007.2,0.705,49.4
2022-06-18 11:21:05.488387108,1007.4,1007.1,1007.2,0.728,49.4
2022-06-18 11:21:05.546157360,1007.4,1007.1,1007.2,0.728,56.4
2022-06-18 11:21:05.590549946,1007.1,1007.1,1007.2,8.425,77.214
2022-06-18 11:21:05.649506807,1006.9,1006.8,1007.2,64.54,120.783
2022-06-18 11:21:05.702113390,1006.9,1006.8,1006.9,42.437,9.037
2022-06-18 11:21:05.738733530,1006.9,1006.8,1006.9,8.727,53.982
2022-06-18 11:21:05.773902416,1006.9,1006.8,1006.9,8.727,65.982
2022-06-18 11:21:05.808121681,1006.9,1006.8,1006.9,28.306,63.613
2022-06-18 11:21:05.837509155,1006.9,1006.8,1006.9,8.727,76.661
2022-06-18 11:21:05.884542465,1006.9,1006.8,1006.9,8.727,86.806
2022-06-18 11:21:05.986926556,1006.9,1006.8,1006.9,8.727,92.731
2022-06-18 11:21:06.020334482,1006.9,1006.8,1006.9,8.727,80.731
2022-06-18 11:21:06.141069889,1006.9,1006.8,1006.9,8.926,80.731
2022-06-18 11:21:06.289312840,1006.9,1006.8,1006.9,10.572,80.731
2022-06-18 11:21:06.351073027,1006.9,1006.8,1006.9,8.926,80.731
2022-06-18 11:21:06.448454142,1006.9,1006.8,1006.9,8.926,75.631
2022-06-18 11:21:06.475108147,1006.9,1006.8,1006.9,8.926,75.731
2022-06-18 11:21:06.501529694,1006.9,1006.8,1006.9,8.926,69.806
2022-06-18 11:21:06.551671982,1006.9,1006.8,1006.9,8.926,70.306
2022-06-18 11:21:06.601221800,1006.9,1006.8,1006.9,8.926,63.629
2022-06-18 11:21:06.759648800,1006.9,1006.8,1006.9,8.926,61.629
2022-06-18 11:21:06.958735943,1006.9,1006.8,1006.9,10.572,61.629
2022-06-18 11:21:06.983836889,1006.9,1006.8,1006.9,8.926,61.629
2022-06-18 11:21:07.028070450,1006.8,1006.7,1006.9,0.029,61.629
2022-06-18 11:21:07.098041296,1006.7,1006.6,1006.7,2.027,12.0
2022-06-18 11:21:07.165740728,1006.7,1006.6,1006.7,2.027,49.47
2022-06-18 11:21:07.211744070,1006.5,1006.4,1006.5,11.252,6.0
2022-06-18 11:21:07.329424143,1006.5,1006.4,1006.5,12.612,19.963
2022-06-18 11:21:07.361960411,1006.5,1006.4,1006.5,21.727,34.304
2022-06-18 11:21:07.387578249,1006.5,1006.4,1006.5,21.727,23.189
2022-06-18 11:21:07.437945127,1006.5,1006.4,1006.5,28.217,23.189
2022-06-18 11:21:07.464680433,1006.5,1006.4,1006.5,48.887,23.189
2022-06-18 11:21:07.496053696,1006.5,1006.4,1006.5,56.087,14.848
2022-06-18 11:21:07.523056745,1006.5,1006.4,1006.6,63.002,2.999
2022-06-18 11:21:07.546896935,1006.5,1006.4,1006.6,51.597,8.999
2022-06-18 11:21:07.574923277,1006.5,1006.5,1006.6,0.703,8.999
2022-06-18 11:21:07.598753452,1006.5,1006.5,1006.6,54.872,8.999
2022-06-18 11:21:07.625796318,1006.5,1006.5,1006.6,54.372,8.999
2022-06-18 11:21:07.749959707,1006.5,1006.5,1006.6,59.472,8.999
2022-06-18 11:21:07.773158312,1006.5,1006.5,1006.6,64.638,8.999
